序号	门店名称	评论内容	评论日期
204	Seesaw Coffee(上海尚悦湾店)	"第一次买这个[emoji][emoji]提拉米苏，一盒38米
试试口味吧
额[流汗]虽然知道都是工厂货吧，但是水准一般般啊
甜，而且下面[emoji][emoji]蛋糕体不多，下面底下稀奶油好湿啊啊啊啊啊
像水一样的，应该不会不会再买了吧
还看到几个新产品，下次试试面包[emoji]"	2023-03-02
205	Seesaw Coffee(上海K11购物艺术中心B1店)	"工作日在K11吃完午饭顺便下来买咖啡，招行有周三五折券，很划算，买单时还自动叠加了一个30-5的券，一共优惠了30块钱。
点单的小哥服务挺耐心的，让我们印象差的是在等咖啡区域的一个女服务生。前面做完的咖啡她还叫号的，后来不知道是不是因为之前拿咖啡的客人冲她发了火，我们一直等在旁边，她突然就很不耐烦地对我们说：“咖啡好了自己拿呀，等在旁边干什么。”拜托，首先你根本就没叫过我们的号好嘛，而且我们一共三杯，才做好两杯，我们这单根本没完成。本来看到之前的客人冲她发火还有点同情她的，这下我们只觉得她该了。。。。。。"	2023-03-01
206	Seesaw Coffee(城开YOYO店)	我点了一杯山茶茉莉的，除了表面飘了几个茶叶，其他没什么感觉，而且，茶叶喝到嘴里，还得吐出来，设计的不太好，总的来说，要比manner贵一些，口味我也没喝出什么高级来，可能因为房租太贵吧，不然怎么卖这么贵，一小杯而已。	2023-03-01
207	Seesaw Coffee(竹辉环宇荟店)	刚进店，收银台带黑手套的就说扫码点单，收银台用是装饰嘛，你们店请他过来就是让他说扫码点单的？这个工作非他不可？做饮料还带着手套是嫌弃自己店的东西脏嘛，他带着黑手套收完外面的垃圾然后去做饮料[擦汗][擦汗][擦汗]，不理解，祝贵店发财	2023-03-01
208	Seesaw Coffee(上海IM长宁国际店)	没有人觉得这个是茉莉花不是栀子花嘛？	2023-03-01
209	Seesaw Coffee(武汉万象城店)	参考大众点评点了繁星桂花拿铁，味道还可以，但里面的桂花口感太差了。一边喝一边吐	2023-03-01
210	Seesaw Coffee(苏州中心店)	怎么会有这么难喝的咖啡 从没喝过这样的dirty 环境服务没问题 单纯难喝	2023-03-01
211	Seesaw Coffee(深圳海岸城店)	连续两天把燕麦奶做成牛奶 :( 对乳糖不耐受的伙伴们来说真的很危险和不友好 希望可以引起重视	2023-03-01
212	Seesaw Coffee(武商MALL·武广店)	"[薄荷]环境：
快餐店环境 非常普通 还算干净

[服务铃]服务：
就一个人 根本忙不过来的感觉
「黑松露炒蛋可颂三明治」的一遍给我 里面完全还是冰渣  第二遍给我是糊的 我就真的一个大无语[流汗] 员工一直很忙 也没时间管出品问题 

「迷你肉桂焦糖揪揪盒」这个mini的还行 但也相对普通"	2023-02-28
213	Seesaw Coffee(北京东方广场店)	"[薄荷]环境:基本上没有环境，门店的格局很怪……

[服务铃]服务:也没有服务，可能资本都在去专业化，本来挺有品质的一个牌子，做成这样实属可以，店员爱答不理的，不是高峰期，就用一句扫码点餐应付一切，这样的话改成自动售卖得了……
饮品:除非没有选择，否则真的没啥必要……
整体:花的不是自己的钱就玩命造吧……"	2023-02-28
214	Seesaw Coffee(北京东方广场店)	就那样吧。开始还蛮多人买的。还总是排队！！。现在没什么人买了！价格小贵！却不值得这个价位去买。比他家好喝的很多呀！	2023-02-28
215	Seesaw Coffee(武汉万象城店)	"万象城角落的一个位置，店挺大的，看着干净整洁
因为买了京东PLUS会员，有买一赠一的优惠
点了两杯
「山茶茉莉Dirty」很小一杯，女生几口就喝完了，以为有茉莉的清香，其实就是放了几朵干花飘上面了，很一般。
26一杯，确实不应该啊！"	2023-02-28
216	Seesaw Coffee(南京水游城店)	"一直是seesaw的忠粉、但这次外卖体验太差了
提前预约了早上8点45到9点送达，结果8点07外卖员就送到了，提前了至少40分钟，店员是不看小程序上的预约信息吗
打工人想喝口热乎咖啡这么难吗"	2023-02-28
217	Seesaw Coffee(上海中信泰富Mall B1店)	咖啡还是很不错的，但是服务员服务太差了，明明写的外带，没有给装好袋子，服务员还私自把小票扔掉，后面我需要小票，服务员又不知道在哪里拿出来的小票，感觉像垃圾桶…加强人员培训吧，商家	2023-02-27
218	Seesaw Coffee(北京朝阳大悦城店)	开放空间，座位不是很舒服，「山茶茉莉拿铁」无功无过吧，性价比不算高。	2023-02-27
219	Seesaw Coffee(上海太阳宫K46店)	为什么每次点外卖的杯子都盖不紧，已经遇到很多次外卖的杯盖漏了的状况了，就算是自己重新盖好，喝的时候还是会漏出来，很狼狈	2023-02-27
220	Seesaw Coffee(北京枫蓝国际购物中心店)	"[薄荷]环境：有十张左右桌子 因为在一进门的商场楼道 显得略显草率 比较暴露 嘈杂  没有自然光 等咖啡坐会还行

[服务铃]服务：
直接从扫码点就行
今天因为发现小程序不知道怎么 总转跳  终于进去了 山茉莉拿铁是第一个 就点了  有点涩  花茶味很重 盖过了咖啡的味道 下次不能点这个了 哈哈
性价比也一般"	2023-02-26
221	Seesaw Coffee(南京新街口IFCX店)	女店员态度一般	2023-02-26
222	Seesaw Coffee(凌空soho店)	"这真是一家非常可怕的咖啡店，里面的装修非常破旧，墙体四处开裂。居然孩子营业到4点就结束了。整个临空园区，显得和鬼城没什么区别，看样子周末真的不能过来。
点了两杯咖啡，桂花的还成，不过那个茉莉脏脏实在太难喝了，喝了两口就倒掉了，我心疼那32块钱"	2023-02-26
223	Seesaw Coffee(凌空soho店)	"咱就是说，有些创意，真的是大可不必。
周末随便找地方坐坐周末随便找地方坐坐，凌空开着的店不多，就进了这家。
3:30进的门，店员对我们说还有半小时要打烊了[笑哭]
我点了新品茉莉dirty怎么说呢？，emmm上市之前没有做过口味测试吗……好久没喝到这么一言难尽的咖啡了……
而且价格巨不合理，这么小一杯要卖30多。真是价格和口味要一头没一头[咒骂][咒骂][咒骂]
3月22日更新：今天无意间看到店家的回复，总透着一股阴阳，体验不大好，服务再?半星吧"	2023-02-26
224	Seesaw Coffee(杭州天目里店)	"天目里的一家店，周末去的时候人非常多。都没有位置，点了两杯抹茶拿铁。结果是几乎没什么咖啡味，就是抹茶液加了鲜奶的感觉。
下次可能就不会去了，奶味很重。 
等了大概半小时才喝上，从口感来看，是不值得那么久的等待"	2023-02-26
225	Seesaw Coffee(浦东嘉里城店)	服务人员态度堪忧	2023-02-26
226	Seesaw Coffee(上海兴业太古汇店)	"店里最便宜的是28元一杯拿铁
28元一杯的拿铁居然连个天鹅都拉不出来！
这家店的咖啡师水平真不怎么样
两个咖啡师
连个天鹅都拉不出来！
拉花可是检验一杯咖啡好坏的最直观的一种方式
随便给我拉个郁金香
说拉的郁金香也不像啊，更像是三个分开的爱心…
没拍照浪费手机内存
巨鹿路上随便哪个咖啡厅都比这家强"	2023-02-26
227	Seesaw Coffee(重庆光环店)	避雷 避雷 避雷！seesaw一直品控不佳  没想到这次直接大翻车 点了dirty 奶不凉 咖啡不热 给我的时候就已经混成了一片 一大口下去尝不出来冰的奶和热咖啡的分层  豆子也是陈豆的味道[再见]不会再去了	2023-02-26
228	Seesaw Coffee(北京西红门荟聚店)	为什么评价这么高，费用不低。服务和环境比星巴克差好多	2023-02-26
229	Seesaw Coffee(上海七宝万科店)	咖啡还行，服务员实在太**了，当时团购买了栀子花梨香拿铁的卷，男店员说dy还是点评，回了以后问了一句dy的卷是更便宜吗？回了我一句都有各自的优惠，我以为他没听清，又问了一次，只回了一句**上只有美式更便宜。我马上dy查了一下，发现都是dy便宜，但是朋友已经核销了，问了一句能不能退了重新验也说不能。不懂这个男店员不清楚回个不知道这么难吗？	2023-02-25
230	Seesaw Coffee(上海金桥国际店)	"蛋糕真的就只有好看的外形，味道很一般。
山茶茉莉dirty也没什么感觉"	2023-02-25
231	Seesaw Coffee(上海博荟店)	周末送娃上课后找家店坐下等放学，看到点评有新品券加上m家和t家的店都坐满了，于是尝试一下，之前在前滩店喝过感觉还不错的，没想到，太失望了，这个繁星点点应该改名叫泡沫点点吧，[笑哭][笑哭][笑哭]样子不好看没有拉花就算了，这些奶泡也打的太敷衍了吧，可感可想而知，没什么意外的话应该没有下一次了，果断拔草	2023-02-25
232	Seesaw Coffee(上海K11购物艺术中心B1店)	"小程序点了一杯冰摩卡，一杯热拿铁
由于冰饮在手机上没有对冰量的选择，所以就走到吧台如何店员说
一位正在加热糕点的员工离我最近，我就对他说了我的取餐号，然后说其中一杯冰摩卡麻烦做成少冰。他看看我没说话，然后我又讲了一遍，接着他问我是要把冰摩卡换成热的？搞不搞笑？然后我又第三次重复了我的要求。。。最后拿到的两杯饮料，一杯少冰摩卡，我也不知道味道对不对，反正我也没怎么喝出摩卡的味道，还有一杯热拿铁，出品请看下面的图片"	2023-02-25
233	Seesaw Coffee(环贸iapm店)	"差评 咖啡也不是多好喝 服务态度极差
自己忘记了一杯 还非要说我们没有点
人家咖啡店的小哥哥都很客气的
你们家这个是吃冰长大的么
冷冰冰不理人还不认错[吐]
吐了 我欠你啊 
呸 再也不喝你家咖啡"	2023-02-24
234	Seesaw Coffee(上海天空万科广场店)	包装该换换了吧！还没走几步路全撒了！	2023-02-24
235	Seesaw Coffee(晶耀前滩店)	别的不说，这个包装也太拉了，这都不改进？？？	2023-02-24
236	Seesaw Coffee(世茂广场店)	虽然喜欢seesaw家的豆子，但是遇到不太热情的咖啡师还是多多少少影响心情。小小的一家店，一早进去没有客人，坐满了外卖小哥哥。要了一杯「繁星桂花拿铁」，希望再要一点点奶，做一个满满当当的造型，小姐姐很异样的眼神看着我“只有美式我们才给奶”……无语……就那样吧，是我要求过分了[撇嘴]	2023-02-24
237	Seesaw Coffee(杭州湖滨步行街店)	环境不错的店，来之前也挺期待的，但不知为什么咖啡入口有很明显的糖浆味，和我之前喝过的陆某某比起来，这杯完全不是我的菜。服务的小姑娘也比较冷漠，体验很一般，不会再去。	2023-02-23
238	Seesaw Coffee(上海世纪汇店)	"这家门店仅仅是个很小的～外带店铺。地铁站8号出口左手边，Manner边上。

春季新品?
【山茶茉莉拿铁】35元。没有用漂亮的[emoji]印花纸杯，普通一个白杯子……特意打开拍了个照，简单的[爱心]爱心拉花，然后撒几朵茉莉花。

咖啡味很淡，茉莉花香气完全来自茉莉糖浆吧，甜甜的～一杯咖啡饮料。

每次看到新品总想尝试，每次都是失望收场。
35元性价全无[emoji]，还不如一杯普通拿铁呢。有点诧异Seesaw现在出品的水准，怎么和隔壁20一杯的Manner一个层次了……"	2023-02-22
239	Seesaw Coffee(上海海洋大厦店)	不好喝，环境没有隔壁manner好	2023-02-22
240	Seesaw Coffee(浦东嘉里城店)	就是说催个点单都有人不耐烦的那种。还有某些点单的小姑娘喜欢纠正发音的，挺好的，第一次碰到服务那么差的seesaw	2023-02-21
241	Seesaw Coffee(南京新街口IFCX店)	"沙發墊子很髒 明顯是有飲料

都沒人清理 3個服務生都在吧檯
把我盆友衣服都弄髒了

看他们家剩的山茶花新品就来试一下，但是也没有喝出来山茶花的味道里面就散了几颗干的茉莉 难道没力就是山茶花吗？味道属于正常没什麼驚艷"	2023-02-21
242	Seesaw Coffee(上海企业天地店)	今天第一次买他们家的美式，有一说一，排队问了半天不理，等了很长时间拿到了，喝了一口就感觉和外面超市买的速溶咖啡一样，咖啡浓度也不够，真的是一天心情都没有了…	2023-02-20
243	Seesaw Coffee(上海海洋大厦店)	甜味已经盖过咖啡味…直接改名叫奶茶好了	2023-02-20
244	Seesaw Coffee(浦东嘉里城店)	"今天到店点了拿铁
叫号去取
结果发现被人拿走了
好
那麻烦帮我再做一杯吧
等了十五分钟
请问做好了么（我就看着他们压根没做我的
服务员随口一说 正在做啊
然后我就看见服务员慢悠悠开始做我的那份
前后等了四十分钟
当顾客是傻子嘛

哎"	2023-02-19
245	Seesaw Coffee(石景山六工汇店)	"[薄荷]环境：没人收桌子
[服务铃]服务：做好不叫单，于是到手的时候咖啡和牛奶已经混在一起了，dirty变拿铁
店员太少了难免的吧，哎"	2023-02-19
246	Seesaw Coffee(上海环球金融中心店)	奶里一大坨糖浆也没化开 喉死了！！！真无语[emoji]下次不会再买了	2023-02-19
247	Seesaw Coffee(上海太阳宫K46店)	"我记得seesaw在新天地刚开的时候我很喜欢去的
现在的店完全感觉在摆烂
前几次去我们不提会员积分，店员完全不提的，甚至有次有个店员根本不知道是什么
今天就更差了，周末人多就一个店员，操作台脏的一塌糊涂，最惊人的是店员冲咖啡根本不带口罩！！！随意打喷嚏……

你们再有便宜团购都不会再光顾的店！"	2023-02-19
248	Seesaw Coffee(凌空soho店)	周末周一不用来了，店员不会操作机器。	2023-02-19
249	Seesaw Coffee(上海康桥新田360店)	点了杯橙橙红美式，这个味道一言难尽，感觉咖啡的苦加上了果醋的酸，提神max，口感接受不能。	2023-02-19
250	Seesaw Coffee(上生新所店)	麻烦把服务员培训好了再放出来服务客户。体验很不好。	2023-02-19
251	Seesaw Coffee(武商MALL·武广店)	本来在柜台点餐 结果都点好了被告知机器没有联网 要我自己扫码 扫码后发现有5.7元代金券 为什么之前不告诉我 那我在柜台点就没有优惠了 回来扫发票一直显示制作中 无法报销！	2023-02-18
252	Seesaw Coffee(世博源店)	门口写着营业至22点，结果晚上8点就打烊了，别人特地跑来喝的，就是在耍人，差评[尴尬]	2023-02-18
253	Seesaw Coffee(浦东嘉里城店)	一直都在成都店喝，来上海旅游路过，刚好还有之前买的券没用完，想着点个单，店里一个瘦瘦男的听见用券直接转头让我自己下单？？？？在成都店里女服务员帮我核销的……难不成用券的没有服务啊…果断走人，和成都服务差太远了，太高傲了	2023-02-18
254	Seesaw Coffee(环贸iapm店)	Seesaw是小编见过最脑筋不会急转弯的咖啡店了，普通奶能免费换燕麦奶，但燕麦奶却不能能替换普通牛奶，这是什么逻辑？三十几的咖啡现场精细制作也没有，拉花也没有，性价比真的是越来越不高了。这家还是堂吃比较捡漏。	2023-02-18
255	Seesaw Coffee(武汉万象城店)	"第一次尝试seesaw，以失败告终
「山茶茉莉拿铁」可能和本身就不喜欢燕麦奶有关，不是很合口味，但是抛开燕麦奶的因素，回味有种喝了植脂末的感觉。第二就是外带杯加了茉莉花的问题，喝两口花就堵住出水口了，然后就会喝到花，这个体验很不好
最后服务方面，基本也没啥服务吧"	2023-02-18
256	Seesaw Coffee(上生新所店)	Seasaw咖啡店越开越多，但感觉已经大不如从前那家首店网红点，这家开在网红泳池旁，但走进去感觉很一般，咖啡味道也一般般吧	2023-02-18
257	Seesaw Coffee(上海南翔印象城店)	"没有插座。
大众点评有优惠。又忘记用了哭泣"	2023-02-18
258	Seesaw Coffee(北京通州万达店)	"之前在朝悦经常去seesaw坐坐，通州万达店开了之后，由于不在商场内，所以一直没来过，今天偶然看到公众号广告，想来体验一下新品。
到店时店里三个店员都闲着，只有一桌客人。我点了热的山茶茉莉拿铁，出杯后递到我手里，就感觉明显的温度低，肯定低于60℃，我问了一句，店员说“按照堂食的温度制作的”，我心说我堂食过咖啡店没有100家也有80家，头一回这么低的温度。然后我媳妇喝了两口，也觉得温度不够，随口说了句请帮我加热一下，结果，一位女店员生冷硬的回了一句“对不起这咖啡没法加热”。顿时让我对这家店乃至这个品牌好感全无，一般来说，如果顾客对温度或者甜度有质疑，比较妥善的处理方式是询问了客人的喜好之后，再做一杯。再不济，也可以用服务话术，“一般来说，咖啡不建议加热，可能会影响咖啡风味和口感，如果您觉得凉，我短暂加热一下，尽量不影响风味，但是可能也不会太热，您看可以么”总之，很多种好的处理方法，然而本次万达seesaw的店员选择的是最生硬冷的一种。
不会再来这家。"	2023-02-17
259	Seesaw Coffee(上海BFC外滩金融中心店)	整体感觉就是门店乱七八糟，可以坐的地方不多，放饮料的地方也不固定，都是外面四处拜访，也没有叫号，东西好了没，完全靠一次次问，以后还是叫外卖吧。	2023-02-17
260	Seesaw Coffee(成都新希望D10店)	不好喝，跟奶茶样，服务态度也撇	2023-02-17
261	Seesaw Coffee(上海前滩中心店)	口味一般服务很差，不管咋么备注都不会给你打包，还出现做错咖啡的情况，不是充了300肯定不光顾。	2023-02-17
262	Seesaw Coffee(浦东美术馆店)	糕一般	2023-02-17
263	Seesaw Coffee(上海芮欧店)	排序排在前面，队伍需要等没问题，后面外卖员催了就先给他们做，整整站了十分钟，后面的单子做好了一堆……不会再来，连外卖都不会再叫这家	2023-02-17
264	Seesaw Coffee(建邺吾悦广场店)	茉莉花拿铁也太难喝了，茉莉花梗很硬，口感很差，每一口喝到花，吃也不是，吐也不是。咖啡味道很淡，基本上都是糖浆的味道[发呆][发呆][发呆]	2023-02-16
265	Seesaw Coffee(世博源店)	真的太糟心了 就刚刚买了一杯新品玫瑰拿铁 [emoji]38元 打包的结果全部撒了！！！请问店家是怎么打包的？！我还是把袋子放在自己腿上的 很平稳 盖子根本没有盖住！裤子全湿了 ！从来没有遇到过 半杯全在裤子上了 差评！必须差评！！差评！	2023-02-16
266	Seesaw Coffee(城开YOYO店)	吃饭的旁边正好有这家咖啡店搞活动蛮划算的就团了一张 一进去店员很懒散 在自顾自玩手机也没有热情招呼 非常不好 燕麦拿铁的味道也不行就很一般 像冲了水的咖啡 对不起这个原价的价格 希望商家管理好员工上班的情绪 需要对顾客热情一点的哦[emoji]	2023-02-16
267	Seesaw Coffee(苏州中心店)	"银行推送活动，这才知道了这个品牌，大众搜了一下，评价还挺高。正好附近就有一家。

下午茶时间，顾客上座率还蛮高的，有80%，店铺里环境比较嘈杂，店员就两人，挺忙的。一男一女，男的在搬货，女的蹲在地上在整理，找了一圈没看到别的店员。倒是一招呼女店员立马就来接待了。

大众团的券，直接验了就去做。我总觉得少了点啥，喊住她，“我第一次来，不知道你家咖啡的甜度…”，还没说完，她就打断说，“给你做少糖！”然后急匆匆又去忙了。

关于咖啡，可能喝惯大杯的我对于标准杯型不太适应，拿到手就感觉量挺少的。开盖闻不到咖啡香味，只有微微桂花香。口感而言，奶泡太多了，前面几口品尝到的都是桂花甜牛奶的味道，1/4喝掉后才有丢丢咖啡的感觉，真的只是丢丢。第一次品尝的体验感不好。"	2023-02-15
268	Seesaw Coffee(浦东美术馆店)	参观完浦东美术馆在一楼seesaw咖啡厅歇脚，点了一杯路易波士柠檬茶「路易波士柠檬茶」，一股药味，超级难喝！！	2023-02-15
269	Seesaw Coffee(浦东嘉里城店)	有一位女服务员态度特别差，感觉不会好好说话	2023-02-15
270	Seesaw Coffee(上海张润大厦店)	"2023.02.14

粉红玫瑰拿铁

节日限定真的让我破费

虽然只加了半泵的糖浆 但还是非常非常甜/ 玫瑰花瓣外卖送到时已经被泡蔫儿了/ 从它带着甜味儿会爆浆液来看 它应该是玫瑰花酱 不是新鲜的花瓣/ 甜味可能还来自燕麦奶oatly对我来说 甜度在植物奶和动物奶里偏高 大概中度偏上一点 

喝一口会有明显的头晕症状

性价比也不高 一年喝一次 刚好/ 但是只是玫瑰加燕麦奶做节日限定 略微敷衍了/ 连菠萝（啵）都被乐乐茶挖掘了 玫瑰未免太老土了（仅代表个人观点）"	2023-02-14
271	Seesaw Coffee(深圳金地威新中心店)	"我满怀期待，大情人节点两杯可可爱爱咖啡。
全撒了，等了40分钟.拆开袋子，瞬间幸福和期待全无，和商家协商要等等来就是要我退款是物流问题。想想外卖小哥有责任，商家没责任，要是盖好盖子会这样。。。。难道我等待不是时间成本差评再也不会买他家的产品。"	2023-02-14
272	Seesaw Coffee(上海国金中心店)	速度又慢等半天，打包又撒掉，这个级别的品牌服务质量也太差了吧[尴尬][尴尬][尴尬]	2023-02-14
273	Seesaw Coffee(上海芮欧店)	拿铁咖啡真的太浓了，全是苦味没有一点奶味。本来和收银姑娘说要减少咖啡浓度，收银说他们家拿铁只有一个Shot，只有澳白浓度高，结果咖啡还是那么浓，喝了胃里不舒服。	2023-02-14
274	Seesaw Coffee(上生新所店)	"晚上8点就关门，是不是太早了？
点了栀子花莉香拿铁，半温的拿铁漂着几朵小茉莉花，仅此而已，并没有想象中的茉莉花香味，空有其名，咖啡豆的味道也很普通，和名气不符合，有一点失望。
店里的环境在上生新所的各家店中显得有些简陋，座位硬邦邦的，尤其是空调的温度不足，在寒冬中明显觉得有些冷。

澳白小小一杯，Seesaw的咖啡种类选择不多，以后不会光顾这家店了。"	2023-02-13
275	Seesaw Coffee(上海万象城店)	现在这家是越来越不行了  服务水平不到位业务不熟练	2023-02-13
276	Seesaw Coffee(重庆星光68店)	"为什么不能满杯
我花钱给我八分满是什么意思
热饮不满杯我理解
冰的美式给我八分满？
我明明出了一杯咖啡的钱"	2023-02-12
277	Seesaw Coffee(财富购物中心店)	"～位于财富购物中心北面一层临街商铺，堂食区域不大，地中间放置一长条桌，后面围了半圈长条座位，其实也坐不了几个人，人一多就吵的待不下去。小圆桌只能放放咖啡杯、手机等小物件，还好座位下面有电源插座，可以给手机充点电。室外有长条板凳，天气暖和了在门口坐会儿，比在室内要强。

～点了澳洲白，讲真做的一般，没有上次在丽泽天地那家喝的浓郁，也可能是外卖订单过多，草草做一杯了事。"	2023-02-12
278	Seesaw Coffee(北京丽泽天地店)	中规中矩，无亮点。	2023-02-12
279	Seesaw Coffee(中骏世界城店)	咖啡口味没的说，但进到咖啡店碰到一群奇奇怪怪的人在拍个天鹅形状的蛋糕的视频，占了半个咖啡店的阵仗，然后又把两块蛋糕扔进垃圾桶……，如果我是店家绝对不会让这些人进店拍的，因为会影响到其他到店客人，对扔进垃圾桶的蛋糕也持保留态度!	2023-02-12
280	Seesaw Coffee(上海太阳宫K46店)	"位于太阳宫5楼的一个餐饮集市里面，店面很小，环境并不太好，一开始都没找到。
用了一张某银行的标准杯券，想点芝士多多拿铁说是卖光了，就换了繁星桂花拿铁。不知道是不是因为这个原因，升了个杯服务员也并没有收差价。"	2023-02-12
281	Seesaw Coffee(北京融新科技中心店)	"栀子花是好栀子，茉莉是好茉莉，咖啡是好咖啡，价格是不便宜，但没喝出来好。
点外卖后悔了，因为拿到之后已经被晃散了，咖啡的味儿不是那个味儿。店家的包装防护真的有限，杯子太软，盖子太松，中间夹了一层纸但还是晃出了很多洒出来。要不是因为赶时间，我应该是在店里，而不是在车里。
没办法，整体感觉一般，只能下次体验了，希望是好的。"	2023-02-12
282	Seesaw Coffee(北京朝阳大悦城店)	咖啡做了半个小时，味道也一般，柠檬气泡水上的柠檬[emoji]是干的？现在这年头弄个新鲜的柠檬很困难吗？周末人多环境嘈杂，脏乱，忍了！小程序点单不说出咖啡时间，问服务员态度极其不耐烦，说到前台点才会告我等多久，那要你那小程序干嘛用的！	2023-02-11
283	Seesaw Coffee(上海K11购物艺术中心B1店)	"没有manner好喝……[撇嘴]
失望了 不知道是不是seasaw正常水准？还是意外这杯就没做好？抿了第一口就不想再继续了[发怒]"	2023-02-11
284	Seesaw Coffee(上海兴业太古汇店)	"桂花燕麦奶不好喝，干桂花口感很奇怪，把规划捞干净后，燕麦奶有股塑料味，不会再买了。澳白还可以。
[薄荷]环境：
很好，店里挺热闹的
[服务铃]服务：
出咖啡很快，服务很友好"	2023-02-11
285	Seesaw Coffee(北京西红门荟聚店)	柠檬茶和中药一个味 千万别点 环境只能用来歇脚 谈事别来 像体育场一样的两层座位 奇奇怪怪	2023-02-11
286	Seesaw Coffee(上海百联世纪店)	非常糟糕的体验，买了豆子不提供磨豆服务。最另人无语的是服务态度，让人怀疑这真的是一家咖啡店的服务态度？？？	2023-02-11
287	Seesaw Coffee(上海思南公馆店)	咖啡酸的，品质极差，服务员态度也很不耐烦，喝完咖啡头很晕，估计咖啡过期了	2023-02-10
288	Seesaw Coffee(上海互联宝地店)	"在一个办公园区里的咖啡厅，点评上买了一杯燕麦拿铁，基本上就是拿铁，没有什么燕麦。
本来想坐在卡座坐一会儿，但是后面的那个假绿植根本就让办法可以靠着椅背。用湿巾擦手再擦一下桌子，发现都是灰，再擦一下木椅子也都是灰，脏的不得了，天啊，这情况像是一个月没有打扫过了。我跟服务员说了，她就开始擦桌子了，室外的椅子上也都是水，我也表达过了，她也都擦了一遍，细节决定你的生意呀，往往一个细节不注意就流失了一个客人。你想啊，这么脏的一个环境，客人还能放心在这里买咖啡喝吗？[微笑][微笑][微笑]
[服务铃]服务：态度还是好的，所以没给一星。
[薄荷]环境：全都是木椅子，坐着不舒服。"	2023-02-10
289	Seesaw Coffee(北京西红门荟聚店)	装修很简单不舒适 美式的味道感觉豆子不是特别的新鲜 性价比比较低	2023-02-10
290	Seesaw Coffee(远洋乐堤港店)	燕麦拿铁秒杀价还挺划算的，但是热的燕麦真的太难喝了，豆子也是一股焦苦味，难以下咽，芝士多多拿铁相对来说就好一点，至少口味比较奶甜不容易踩雷，但是这个棒棒糖[emoji]还不知道是棉花糖的也超级难吃[emoji]，一言难尽	2023-02-09
291	Seesaw Coffee(南京国金中心店)	"就一般，只能喝咖啡，除了咖啡的饮料都不好喝。
不充值的话，性价比很低。点的路易波士柠檬茶，柠檬不是新鲜柠檬，用的是柠檬干，柠檬干就是没有新鲜的味道，而且已经晒成干的柠檬，还有股类似陈皮的那种古老味道。
反正不好喝，就像木乃伊口味的僵尸柠檬茶。"	2023-02-08
292	Seesaw Coffee(环贸ICD店)	"从价格、环境、口味……各个方面和一楼的奈雪、星巴克、tims等相比都没有任何优势。
唯一的亮点就是这家永远有空位置。一楼那些超过一点半已经没有位置了。
第一次尝试，点了一杯繁星桂花拿铁，38元。价格不便宜，味道毫无亮点。
拜拜，没有下次了！"	2023-02-08
293	Seesaw Coffee(石景山六工汇店)	被爸妈带来首钢走路遛弯锻炼身体，在网上搜到了这家，但是咖啡彩色杯子感觉不好看，不如之前的黑白杯好看。店里位置基本没开，只有靠窗的几个座位。钢铁重工感装修，算是新兴品牌吧之前没见过。味道还可以，价格….死贵。感觉性价比很低。	2023-02-08
294	Seesaw Coffee(上海环球金融中心店)	咖啡难喝，店员态度差，楼里没有明确说不能堂食，没有标识就赶人，还甩锅给物业，买了你们家咖啡就可以堂食，双标的可笑，你们大可以说外食不可以在你们店里吃，而不是说以前可以现在不行，又拿不出证明就赶人真的很败好感！	2023-02-08
295	Seesaw Coffee(杭州新天地店)	名牌写着可能是“一条”的扎辫子的小姑娘态度太差了，早上买个咖啡一肚子气，有被阴阳到，美式不能加奶可以直接说，一直问要加多少ml，我知道我就开店了。我说双份奶，她还得顶一句我们没有双份奶，继续问多少毫升……我说随意，不要拿铁那么腻，比美式好一点，她又要顶我，做不到你买的价格是美式……绝！也不是第一天买了，短发店长态度一直很好……真的倒霉	2023-02-08
296	Seesaw Coffee(建邺吾悦广场店)	咖啡口感还行，店里比较脏乱	2023-02-07
297	Seesaw Coffee(上海太阳宫K46店)	"闲逛太阳宫，正好某平台上买的seesaw券可以使用，工作日中午时分，看上去这家人不多

「栀子花梨香拿铁」拿铁味道还行，但是自从这家seesaw换了咖啡师以后，味道就变差了。现在的咖啡师就是图省事图快，根本不拉花，打奶也乱来。原本seesaw的品控，现在还不如manner。只能说价格便宜，随便喝喝吧

重点想说说服务，一个男生一个女生，女生一直在玩手机，没有人点单，没有人招待。男生一直在机械式做咖啡，各种迷之操作省步骤"	2023-02-07
298	Seesaw Coffee(北京丽泽天地店)	团购的繁星桂花拿铁，味道很奇怪，店内就一个服务员乙，也没有顾客，特别冷清，店内不值得也比较简陋，门头也不大，不是很明显，灯光也比较暗，对面就是星巴克，形成鲜明对比。座椅也不多，有点像麦当劳的桌椅。不用特意过来。	2023-02-07
299	Seesaw Coffee(杭州湖滨步行街店)	"seesaw的服务特别糟糕，之前外卖的包装问题给了一个两星，后面就被后台客服拉黑了，饿了么上永远点不了这家，点好就被自动取消。
后来我同事又点餐，点了一个套餐是两杯燕麦拿铁，我同事备注让一杯换成牛奶的，结果真的送来了一杯纯牛奶！我同事问客服，客服说你下次自己备注清楚。这家客服真是绝了，这么牛吗？请放下你的身段！"	2023-02-07
300	Seesaw Coffee(北京东方广场店)	去了 让我等外卖后面 没听说过到店客户得等外卖后面 就要一杯 服务态度差	2023-02-07
