门店名称,评论内容,评论日期
Seesaw Coffee(晶耀前滩店),服务简直烂到爆。自己业务不熟悉点评团购的折腾了半天。结果买的蛋糕🍰，两杯咖啡都做好了还没拿给我。居然说新来的要告诉他怎么拿，拜托在我后面的蛋糕都拿好了你和我说这么烂的借口。道歉也不会，垃圾无比了！,2022-02-13
Seesaw Coffee(深圳海岸城店),"[薄荷]环境：谈不上环境，就是在大堂放了几盆盆栽🎍，放了几把椅子🪑。人多吵杂。

[服务铃]服务：服务一般
「冰拿铁」拿铁量很少，咖啡很稀，几乎都是水的味道。跟肯德基签到免费送的咖啡一个水平。不明白这种品质为什么卖这么贵！再不会买！",2022-02-13
Seesaw Coffee(成都大悦城店),今天在大悦城闲逛，看到有seesaw，开在奈雪的茶对面，店面是在角落里的，招牌颜色比较深，不太容易找。大众点评团购25元4选1，买了一杯热拿铁。这杯拿铁，说实话，如果是按店里33元一杯的价格买，我真的觉得有点没必要。牛奶的味道很淡很淡，咖啡也一般。店里有一些比较新颖的咖啡，比如栀子花梨香拿铁、繁星桂花拿铁，听名字觉得很不错，价格的话，基本喝星巴克持平。拔个草，走到门口了，喝一杯无妨，但是大概率下次也不会再点了。,2022-02-13
Seesaw Coffee(上海七宝万科店),"点了杯芝士丝绒拿铁，因为一直爱喝这个，好的时候我询问了一下这款应该是配北海道饼干的吧。才被理直气壮的告知上面的饼干没有了，说是前阵子开始都不再有了。额...没了就没了，说句抱歉很难吗。以及小程序点单图能不能把饼干去掉，不要误导消费者？
观察出饮的过程也不算很卫生，压杯盖的时候会用手指压到出饮口，请不要说手都是经过严格消毒的，有定时洗手的计时器吗？休息时扶过口罩、摸过手机后，返岗前有100%洗手吗？
希望以后态度和卫生上有改善。
近期是不会再喝seesaw了",2022-02-13
Seesaw Coffee(上海K11购物艺术中心B1店),下单店员下错，和店员说了2次结果还是错误，很不耐烦的说拿了就走。这个服务态度是不是改回去再培训下。,2022-02-13
Seesaw Coffee(上海七宝万科店),可能是了疫情所有的杯子都是纸杯，想想也能理解，期待着咖啡师来杯漂亮的拉花拿铁可是看到的是直接粗暴地将牛奶倒进杯子完事[发呆]还不如自动咖啡机来,2022-02-13
Seesaw Coffee(远洋乐堤港店),可以说是很不合口味了，颜值在线，环境的话，比起湖滨那家差了很多，只是开在商场过道开放的区域，面积也比较小，环境也比较嘈杂，适合外带，嗯，咖啡不算便宜，口味甚至比不上星巴克的燕麦拿铁，口味偏重，咖啡的香味不突出，也没什么层次，苦味比较明显。,2022-02-13
Seesaw Coffee(成都大悦城店),"就是说是正常连锁咖啡店出品的味道吧
新出的「白柚红美式」和「白柚红果丝绒拿铁」都是偏酸的口感…不是豆子酸…是糖浆的酸味吧…都没有想象中好喝
店员推荐的两款蛋糕也都是连锁店出品的质量…「秋栗龙井茶磅蛋糕」甜度更厉害",2022-02-13
Seesaw Coffee(新天地南里店),看广告宣传貌似很漂亮呢，所以点了一份白袖红果丝绒拿铁，这味道混一起喝，真的有点怪[呲牙]，我以为冰糖葫芦可以混在咖啡里吃的，没想到冰糖葫芦居然是冰箱里拿出来的，又冰又硬，店员叫我过会再吃[嘘]，冰糖葫芦真的只能是个造型，同时儿子点了一瓶蜜桃汽水，这味更怪，很淡很淡，35元一瓶感觉不值呢！,2022-02-12
Seesaw Coffee(建邺吾悦广场店),"想说爱你不容易。
「白柚红美式」这一杯，从出品到颜值都很下头，丑的我都不想拍。这种雨后春笋般的连锁流水作业，真的没有情怀，只剩割韭菜了。
看咖啡师流水作业般的操作，就跟奶茶店一般，让人了无生趣。这一杯咖啡，更像一杯没有情怀的水。
这种雨后春笋般的连锁咖啡店☕️，我再也不想尝试了。",2022-02-12
Seesaw Coffee(上海太阳宫K46店),刚好跟朋友谈事情，来这里喝一杯，我菜单上写的是繁星桂花拿铁，但是其实里面是繁星，桂花燕麦，然后我对燕麦的味道就很难下咽，感觉里面像有核桃碎的那个味道，让整个的口感变得非常的腻，然后只能看见桂花，却完全喝不出桂花的味道，总之就这样吧,2022-02-12
Seesaw Coffee(重庆万象城店),"现在卖咖啡的优越感都那么强了，也是笑了。
服务一颗星都不想给，第一次喝这个牌子就问了有没有推荐的，那语气简直了。
没有下次了，品牌印象彻底拉黑。",2022-02-12
Seesaw Coffee(远洋乐堤港店),"点了两杯主推有糖葫芦的那款（什么拿铁）具体名字记不得了。一杯减糖，已经甜到不太受得了，全糖的更是……
重点是真的不好喝，没办法形容的味道（当然个人口味各有不同）
至于原本应该是想锦上添花的糖葫芦，结果成了画蛇添足的败笔中的败笔（糖葫芦不是新鲜的，是速冻解冻款，吃起来都是冰渣渣的感觉）",2022-02-11
Seesaw Coffee(浦东美术馆店),"大冬天，seesaw冷的和冰窟一样，哪里都漏风，赶紧喝完就走了。刚做完的咖啡居然是常温，也不热。特意想去喝点热的东西，居然这样，好失望。
「白柚红果丝绒拿铁」如果平时喜欢喝咖啡的伙伴，不要轻易尝试。真的太难喝了，口口感完全分离，下次还是只喝常规的好了。",2022-02-11
Seesaw Coffee(上海博华广场店),本来想点杯咖啡，走近一看这么一家连锁的咖啡店店员都不带帽子，长发的不扎头发，如图。店里面也很乱。,2022-02-11
Seesaw Coffee(重庆星光68店),"再补个周末的
这个拿铁原价卖36
要不是团购25
肯定不得去
如果36是肯定不值的",2022-02-10
Seesaw Coffee(杭州天目里店),咖啡竟然不是现冲的 是预制品直接倒进杯子里加热一下 没想到,2022-02-10
Seesaw Coffee(上海K11购物艺术中心B1店),环境一般,2022-02-10
Seesaw Coffee(北京朝阳大悦城店),就喝了两口，实在太难喝了。拿铁太苦了，咖啡豆不香。,2022-02-10
Seesaw Coffee(北京三里屯机电院店),"[薄荷]环境：
店里的环境真的不大，有点拥挤。
里面大概是有5..6个小桌子。

[服务铃]服务：
服务态度真的不太好，店里大概2,3个服务员，
进店里也没说一句话……🤦‍♀️
我就自己找了个位置坐下，然后扫桌子上的二维码，自己下单……也没人理我……好尴尬😅

💓推荐：「白釉红果丝绒拿铁」
价格💰：33元
这个口感还可以，但是那个搭配的糖葫芦冻的太硬了，根本咬不动……咖啡的口感比较奶，属于拿铁风味的，但是有点甜。

🏠店铺名称：Seesaw Coffee(北京三里屯机电院店)

📌地点：工体北路4号院81号楼一层",2022-02-10
Seesaw Coffee(上海金桥国际店),买的李佳琦的券。。。两杯任意杯型39元的。。。第一次去用。。。我说栀子花大杯。。。顺利买到。。。第二次去点单的说，栀子花只有标杯的，我把上次买的照片给她看，她说现在做不了只有标杯的。。。那好吧！第三次再去。。。点单的一听李佳琦的券要大杯，就转头问后面的人能点大杯吗？一个男生回复，只能标杯。。。那这个券强调的任意杯型意义何在呢？,2022-02-10
Seesaw Coffee(晶耀前滩店),心心念想喝seesaw的咖啡 无奈生活圈周围没有，今天路过跟朋友买了两杯拿铁，等了10分钟才开始做拿铁，扫了前台二维码新人并没有送新人礼券，问了制作咖啡的小哥说要扫ipad才能送，前台小姐姐一直在弄电脑并没有介绍任何店铺活动，有点失望,2022-02-10
Seesaw Coffee(上海太阳宫K46店),"这杯芝士丝绒拿铁太 普通的吧…芝士味几乎没尝出来 咖啡味也寡淡…

我还是回去喝瑞幸吧 …

同样价位 地下一楼的m stand 太妃芝士奶咖好喝太多 起码我还回购了 [呲牙]",2022-02-09
Seesaw Coffee(上海思南公馆店),"店面不大
新品不少
味道不错
服务太差
特别今天那位女性店员，emmmmm，还是想小小吐槽一下，给人感觉很不友好哦，知道过年上班不容易辛苦啦，但是服务态度还望改善哦。",2022-02-09
Seesaw Coffee(浦东嘉里城店),一直挺喜欢seesaw的！明明写着芝士丝绒咖啡有配饼干，好几次都没给！还说改配方了……！败好感……！在嘉里城这种地方，居然出现这种勾当……绝绝子！,2022-02-09
Seesaw Coffee(上海K11购物艺术中心B1店),"这家店咖啡做得味道很奇怪，看颜色就和之前喝的不一样，果然味道差别更大，说是物料和别家的不同，然后部分（女）店员服务态度非常恶劣！
提前在线下单，两单都备注去冰，到了店里，发现一杯去冰了，另一杯没有去冰，我们很疑惑，以为可能有人拿错了，就询问两杯同样的备注，一杯没有去冰是否哪里搞错了？结果（女）店员态度非常差的回答：因为有奶盖不能去冰，只能少冰！！我和朋友都懵了，好好说话不会？需要那么凶？两杯都是有奶盖的，为什么一杯可以去冰另外一杯就不行了？那去冰的那杯是做错了呗！你们要不要处罚的？而且这杯冰加得特别足，根本也不是店员所说的少冰！很明显是你们没看备注自顾自的随意制作，做错了态度还那么恶劣。。。这时另外一位店员（男）过来说现在可以帮忙把冰去掉，就拿去捞冰了，然后工具也找不到，又是一通找。。。去完冰结果只剩下半杯？！！真的是惊呆了，半杯是冰？就算去冰不满杯，能那么少？seesaw这款饮料在其他店铺点了n次了，第一次碰到说不能去冰，也是第一次碰到去冰只剩半杯，真的绝。呵呵。。。味道不对甩锅物料，请问（女）店员工作不认真，态度恶劣准备甩锅给谁？最起码的尊重不懂？？顾客不是来你们店里花钱买气受的！",2022-02-09
Seesaw Coffee(北京三里屯机电院店),今天去这家seesaw喝咖啡，太难喝了，点了冰澳白，上来的时候看样子就觉得不太对劲，喝的时候我真的怀疑自己，完全就是甜的刷锅水的味道。整个人都不好了。这家店之前一直是心目中北京最好喝咖啡之一，搬家远了许久没来，这里到底发生什么事了！北京好喝的咖啡不要这么随随便便就消失掉好吗……店里的桌子也换了，坐着的时候桌子一直晃…真的很无语。但咖啡好喝也行啊！之前这家店火到挤不进去，点完就要端出来喝，时过境迁的感觉。,2022-02-09
Seesaw Coffee(环贸iapm店),柠檬茶很难喝 咖啡还行 等的太久了就是,2022-02-09
Seesaw Coffee(杭州湖滨步行街店),"2021最后一杯咖啡☕️

闺蜜给我选了红果丝绒拿铁，seesaw coffee晚上人挺少，逛街累了坐下歇会儿，圣诞节期间特别喜欢姜饼人拿铁，对比下这杯真不咋的，红果甜腻极了，完全不爱。

我对红果果产生了极大的误会，重回帝都也不想吃它啦",2022-02-09
Seesaw Coffee(北京通州万达店),店里空空落落的没什么人气，负责点餐的人感觉业务也不是很熟练也不是很热情，桌子上的垃圾没有及时清理，没法和上海的seesaw人气相提并论，经营惨淡,2022-02-08
Seesaw Coffee(杭州天目里店),"装修蛮好的，就是人太多了，店员忙得不可开交，没啥体验。
咖啡一般，完全没有性价比，那么小一杯，30多，风太大了，连续在杭州开了几家，也就那样吧。
但是……
来天目里的都是潮男俊女，坐在窗边喝咖啡聊天都是一道风景线（他们穿的太好看了[愉快]）",2022-02-08
Seesaw Coffee(景枫中心店),真的不好喝，味道特别淡，还不如星巴克，没喝完就扔了,2022-02-08
Seesaw Coffee(景枫中心店),讲真，口味不好评价，因为根本就没喝到。打开就半杯，一张纸盖着，再加一个盖子。如果只能堂食，麻烦就不要外送了可好？跑腿和咖啡加起来60多，买了个闹心？,2022-02-08
Seesaw Coffee(上海田子坊店),"seesaw是怎么了？
这家店从服务到咖啡出品都差强人意
「白柚红果丝绒拿铁」味道一般，图片与实物不符，冰糖葫芦硬的可以把我牙齿都要断！果断弃之～
「香橙肉桂红美式」这味道被形容成洗衣粉，不敢尝试！

[服务铃]服务：
之前早上同事来买咖啡，问及有什么优惠套餐可选，服务员推荐了买卡办会员送券，但并不适合早上一杯咖啡一份面包的搭配使用，于是就用了原价购买，付完钱后服务员来了句下次可以看一下点评优惠套餐，于是打开点评发现正好有已购买原价的优惠套餐，这“专业”程度也是服了！还不如不提醒！",2022-02-07
Seesaw Coffee(上生新所店),新品一直想尝试下，糖葫芦对于80后来说小时候特别的回忆吧～由于seesaw不在公司附近，只能点外卖品尝。同事一起一共5个人点了贵店咖啡，2杯新品（糖葫芦）没想到送来时2杯咖啡的糖葫芦都木有，一开始还以为是放咖啡里了，打开搅拌了下确实没有。先电话咨询门店，无奈打不通，通过微信公众号的一些渠道加了微信群才联系上店家。好在服务态度等还算ok，立刻叫了外卖小哥再次配送，就咖啡冷掉了啦～希望这种错误以后不要犯，很影响咖啡的口感。,2022-02-07
Seesaw Coffee(南京水游城店),感觉出品不如吾悦那家，可能是气温低的原因，澳白温度不够，喝起来不够香浓，三口两口喝完走人。,2022-02-07
Seesaw Coffee(上海金桥国际店),创意还行，喝不出咖啡的纯粹。很感谢帮忙磨豆子，却不是特别愉快的体验。打电话的小伙答应帮我磨不是本品牌的咖啡豆不知事后会不会被店里的同事埋怨，如果这样我很难过我宁肯不磨这个咖啡豆。下雨天休息在家，如果电话里被拒绝我肯定理解下雨天我也不想出门了，本来打算喝一杯咖啡磨个豆，好心情被第一次拒绝搞的没有了,2022-02-07
Seesaw Coffee(上海博荟店),原来以为星巴克，瑞幸，tims的抹茶拿铁已经够差了，没想到seesaw的更是差的一笔，从没喝过如此差的抹茶，[吐][吐],2022-02-07
Seesaw Coffee(重庆万象城店),就是稳稳的，性价比上我觉得低了一点点，不过这是我的原因，还是因为我钱少，对不起,2022-02-06
Seesaw Coffee(上海K11购物艺术中心B1店),很一般了这家,2022-02-06
Seesaw Coffee(远洋乐堤港店),"[薄荷]环境:
在中厅的一家店（有点像快闪）整体环境略嘈杂…收桌也不是很及时…
「繁星桂花拿铁」点的标准杯 像是别家的小杯，味道只能说soso（还是更喜欢皮家多一些）
另外点了一杯标准拿铁还可以…
「芝士麻薯See拉米saw」麻薯还算比较Q 可能是因为整体环境确实不太行，感觉食物都变得不好吃了…",2022-02-06
Seesaw Coffee(杭州天目里店),旁边就是% 但还是喜欢seesaw 很想喝西子龙井美式 下架了 再也不会上了 喜欢喝冰美式 别的都不喜欢,2022-02-06
Seesaw Coffee(重庆星光68店),"主推款颜值不错，口味偏甜，没有甜度选择，起码服务员没有主动询问。性价比极低……
店开在商场里，环境还好，座位不多，略显拥挤。
服务是最该吐槽的，服务员只顾推销付费会员，完全不顾后面排成长队等待点单付钱的顾客，最起码的安抚和引导其他店员进行服务都没有。只顾完成“销售业绩”。。。",2022-02-06
Seesaw Coffee(北京通州万达店),太一般了，没法和大悦城的比,2022-02-06
Seesaw Coffee(北京朝阳大悦城店),"大悦城九楼，三联书店的最里面。
节假日的话，人还是挺多的，几乎都没有位置。
我们是团购的咖啡券，选了摩卡和拿铁，但真心很一般，入口没有咖啡香，一股那种香精的味道，口味也异常的寡淡，分量也很少。不太推荐去喝咖啡。",2022-02-06
Seesaw Coffee(北京三里屯机电院店),seesaw这破程序，我人在北四环，居然定位到三里屯点单，点完后发现不对也不让退，还让我叫闪送，送你个奶奶👵。,2022-02-06
Seesaw Coffee(北京枫蓝国际购物中心店),相当相当相当一般的咖啡,2022-02-05
Seesaw Coffee(北京朝阳大悦城店),环境是真不错，大悦城里算是闹中取静了。练完超级猩猩来这喝杯咖啡，奈何等了20多分钟才制作好。服务员态度也很不专业，说话都不抬眼睛。下次再来，嗯嗯不会再消费了，因为我看不消费也有在这坐着的。还不如买杯星巴克上来坐这呢,2022-02-05
Seesaw Coffee(成都大悦城店),不怎么痒，味道还没瑞星好喝，价格35一杯，比星巴克还贵，问题是都没他们好喝……无语，感觉亏了,2022-02-04
Seesaw Coffee(成都大悦城店),"☞算是一家网红连锁吧，在🍑宝上搜咖啡豆的时候也总能搜到它家的长劲鹿之类的意式拼配，99一斤的样子
☞这家开在大悦城隧道出来那个门的门口，丝芙兰对面，口岸很好，虎年的第一杯咖啡就交给它，新年的配色也红彤彤的，应景
☞大众买了两个券，点了四杯有糖葫芦的那个，白柚红果丝绒拿铁……算下来29.5一杯，杯量大概在星巴克的最小的中杯那么大，或者更小点，味道……太诡异了，酸不拉几混合着奶油又强颜欢笑带点甜的口感……幸好一杯不多，本着不浪费的原则，我几口闷了，不便宜，不好喝，和我八字不合，算了，下一个！",2022-02-04
Seesaw Coffee(世博源店),"喝了两家店，感觉豆子不太好，比较涩有糊味
拉花都很敷衍
毕竟这个价位了应该做的更好",2022-02-04
Seesaw Coffee(上海南翔印象城店),喊了三遍你好没人搭理，至少说句等会儿或者什么？,2022-02-04
Seesaw Coffee(上海丰尚国际店),"食物简直太糟糕了，可颂里面的食材都是冷的。
环境不错，有太阳的时候可以直接晒到太阳，很舒服。也就环境稍微好点了",2022-02-04
Seesaw Coffee(杭州新天地店),团购了张券，拿铁应该是大杯吧，给了标准杯也就算了，问题不好喝[白眼][白眼],2022-02-04
Seesaw Coffee(杭州湖滨步行街店),"在附近随便喝喝 还是一如即往的甜口
加上糖葫芦就是甜上加甜 还有奶盖甜度冲击
比较像饮料吧 没有那么咖啡

过年人还是贼多 隔桌也没啥用 人还是挤在一起
等了有十五分钟才拿到吧 有一杯还等了特久 有点不爽

性价比还是比较低的 除非有啥好奇的新品不然还不如去星爸？",2022-02-04
Seesaw Coffee(重庆星光68店),「白柚红果丝绒拿铁」怪自己非要买这种看上去就会踩雷的东西，太难喝了，好甜，也没什么咖啡味，就是一杯糖浆水。光说冰冻的糖葫芦酸酸甜甜还是好吃的，但是我可以直接买个糖葫芦啊。,2022-02-04
Seesaw Coffee(上海太阳宫K46店),"口味一直稳定。
但，出错饮品！
我喝了一半才发现，算了...
店员开小差呢，哎～",2022-02-04
Seesaw Coffee(环贸iapm店),点了一杯热拿铁居然拿到手是冷的,2022-02-04
Seesaw Coffee(苏州中心店),"[薄荷]环境:
店面小，座位少。
[服务铃]服务:
少冰点成去冰，都没叫重做，加点冰还表现出了不情愿的态度。
「白柚红果丝绒拿铁」味道不合适，所谓的白柚风味不太适合和牛奶以及浓缩搭配，口味就比较奇怪，最后糖葫芦也忘出。
「白柚红美式」好喝的，意料之外的口味。
吧台出品太随意了，拉花没成就一缸奶直接倒下去，口感可想而知。",2022-02-04
Seesaw Coffee(北京朝阳大悦城店),经常来大悦城，这里这里也来过几次，这次体验很不好，1:56点的，说得等会，前边有五六杯，等了17分钟退款说前边还有两杯～不是忙不过来，三个咖啡师在做咖啡，我点的是美式，最简单最快的，不知道玩什么，都是先做别人的,2022-02-04
Seesaw Coffee(世茂广场店),"[薄荷]环境:
一般般吧，边上还堆着纸箱子，看着有点乱。

[服务铃]服务:
挺好的，咖啡上得挺快的，手机点单，做好了手机上也有提示
「摩卡」还不错，喜欢哦
「元气美式」这。。。像带气泡的醋，实在太难喝了[撇嘴][撇嘴][撇嘴]喝了一口简直怀疑人生",2022-02-04
Seesaw Coffee(北京双井富力广场店),路过新开的网红seesaw尝一口，味道只能说很一般，然后座位太少了，门店还对着商场大门，那个冷啊。。。还尝了他家推荐的三明治，也不好吃，对seesaw略失望啊。。。之前还买过他家冷萃，觉得不错才来的门店，对门店略失望。。。,2022-02-04
Seesaw Coffee(世茂广场店),不想评价了，整个店被等单的外卖小哥占据，是自己的问题，就应该踏踏实实的叫个外卖…,2022-02-04
Seesaw Coffee(成都摩方店),"上海开过来的连锁品牌，但品控做得很差，和上海店差距很大。
和它最早也差很多。Seesaw最早豆子很不错的，后来资本进入，就改变了初衷。想弯道超车，卖好喝的特调，卖给不懂喝咖啡的人。

点了两杯基础款，「热美式」和「澳白」，我只能说是🐶屎、烟灰水。",2022-02-04
Seesaw Coffee(世茂广场店),"⭐不知不觉seesaw咖啡已经从小众精品咖啡变成了遍地开花的连锁咖啡店，咖啡杯等周边产品也做得红红火火。

⭐人民广场这家店侧门本来是连接上海世贸底楼乐高店后门的，但目前因为疫情原因只能从seesaw的正门进入，下雨后地方更显得局促。

⭐林总大手笔，点了限定版「栀子花梨香拿铁」，一杯中杯卖48元。没想到实际上做法就是花茶包+浓缩咖啡，口感寡淡，毫无诚意。",2022-02-03
Seesaw Coffee(上海企业天地店),"路过就想试一试的网红店，但是冬季限定款白柚红果丝绒拿铁非常失望。里面的奶油非常的冷，和热咖啡在一起好不协调，放在冰冷的冬日，真是把我冷坏了。
红果更是把我的牙齿都冻掉了，感觉是从冷冻里拿出来的，吃完之后，整个体温下降了几度。感觉不会再买了",2022-02-03
Seesaw Coffee(上海丽宝乐园店),楼下新开的咖啡店，饶了半天才找到。品尝了新品白柚红果丝绒拿铁，配有糖葫芦。服务员应该还是新手，动作不怎么熟练。糖葫芦，速冻的，品尝不出糖葫芦的味道。再说说拿铁，奇奇怪怪的味道，想尝鲜的还是谨慎考虑吧。,2022-02-03
Seesaw Coffee(北京通州万达店),"豆乳提拉米苏 踩雷了很难吃很甜。
咖啡口感尚可，就是这个价位劝退了，喝瑞幸和星爸爸都是极好的。红果冻的硬邦邦无法下嘴。
座位上都是灰尘，坐了一屁股灰……",2022-02-03
Seesaw Coffee(上海尚悦湾店),量太少，标准杯也好小。,2022-02-03
Seesaw Coffee(重庆星光68店),前台收银员态度差，也没有叫号，都是顾客自己去前台查看，收拾餐台效率低，半天没有工作人员收拾位置，请提高服务品质,2022-02-03
Seesaw Coffee(上海K11购物艺术中心B1店),座椅偏硬，蛋糕还不错，不腻人，饮料一般没有特别好味。,2022-02-03
Seesaw Coffee(北京朝阳大悦城店),"人贼多…桌子乱糟糟，环境乱糟糟
咖啡一言难尽
更郁闷的是千层都硬的！找了工作人员说，反馈给我的是，再等一等？放一会儿就好吃了？
这个千层的皮…看着都硬…诶
又是被骗的一天38买个教训
48一杯的栀子花咖啡…就拿铁上放几个花骨朵儿
关键要求换一块就告诉我说就这样…再换也这样……",2022-02-03
Seesaw Coffee(杭州萧山万象汇店),怎么说呢 两杯要六十多，真不如星爸爸吧，很小一杯，味道也就这样。服务员做的速度很慢，很懒散的感觉一杯的量跟星爸爸小杯差不多，杯子的盖子塑料感很强，抖音小红书太多人推荐所以来尝尝，挺失望的，不会再买了。性价比低,2022-02-03
Seesaw Coffee(成都摩方店),上班没有☕️是不行的,2022-02-03
Seesaw Coffee(杭州新天地店),"[薄荷]环境：
新天地跨贸小镇步行街上 最近新天地开了好几家网红咖啡店
听说 seesaw也是网红…开业当天消费赠送玻璃杯
为了玻璃杯，决定去探店
「热拿铁」大众点评有团购 点了普通拿铁
不知道他家用的啥咖啡豆……喝了以后上头……
特别上头那种 ，和醉酒的感觉一毛一样
大概喝了一半吧…喝不下去了…
我同事点了低咖啡因的 也是上头
应该不会回购了 这个价格还不如星爸爸了",2022-02-03
Seesaw Coffee(浦东美术馆店),逛完浦东美术馆，小朋友想吃点小零食，周围除了这家没有其他店了，手机点单两杯咖啡（其中一杯带小饼干）然后足足等了20多分钟才拿到，结果还没饼干？！问店员饼干呢，答复：最近饼干没有了。可你点单页面上有啊？再说了没有你怎么不早说？我就是想给小朋友吃个饼干才在你这买咖啡的，真喝咖啡谁到你这来啊，好家伙给👨🏻‍🦳来个买椟还珠！结果店员回答更精彩：这个情况我们会和公司反映的……我觉得店员做咖啡屈才了，应该当seesaw的新闻发言人。,2022-02-03
Seesaw Coffee(北京朝阳大悦城店),"日常冰美式，被朋友拉去这家，说是很火。。。
味道正常，出单巨慢，坐位都是木板，不知道好在哪里",2022-02-02
Seesaw Coffee(成都摩方店),"[薄荷]环境:交子大道摩方口子上 位置很好 座位较多

[服务铃]服务:服务可以。积极

「白柚红果丝绒拿铁」这个糖葫芦是败笔 冻得很硬 咬不动 也不好吃 体会不到这个搭配的点 咖啡本身是好喝的 但味道很杂 反而没有特别的滋味
「椰子燕麦拿铁」朋友说好喝 反正我是不会在seesaw点这种的 LOL
「香辣芝士手工面包棒」嗯 一般般 比较脆有芝士的咸味和一点辣 感觉喝咖啡不太配呢 不如去买个虎皮[嘘]

我正在进阶大方扣.有钱人的路上，我现在认为花100混一点时间喝花式咖啡并不经济。",2022-02-02
Seesaw Coffee(上海BFC外滩金融中心店),"买了新年新品.说实话蛮难喝的[流泪]
果酱还是什么太浓.咖啡味一点也没.
冰糖葫芦还不错.
买新年款送了贴纸.图二这些.
以后还是喝喝拿铁吧.新款多少有点失望了",2022-02-02
Seesaw Coffee(建邺吾悦广场店),"[薄荷]环境：
就装修风格和硬件设施来说不如星巴克，后边的单人小桌看起来挺别致，坐起来很难受，拿咖啡很别扭，靠着也不舒服。

[服务铃]服务：
中规中矩，点单拿咖啡，没有任何印象了。

「美式咖啡」美式就是咖啡店的总基底。豆子倒还行，有风味不是刷锅水，但连带环境总体加起来就不值这个价了。",2022-02-02
Seesaw Coffee(北京西红门荟聚店),"位置：荟聚二层（北门附近 地铁站附近）
[薄荷]环境：
面积很规整  但座位设计很奇怪  前后左右间隔都很近
地板就是商场本来的 旧旧的 让人有临时搭建的错觉
[服务铃]服务：
没有服务。
「热拿铁」「冰厚椰拿铁」
可以。很适口。但价格不便宜。
📓总结：
坐在里面很别扭   没有任何服务  咖啡还可以 但综合性价比不高。",2022-02-02
Seesaw Coffee(成都摩方店),说实话，我不太喜欢这家咖啡。慕名而来，装修还行，就是现在时兴的精品咖啡调调，但咖啡性价比太低了，一小杯，48元。真的超级小，不适合追求性价比的小竹姐姐！倒是旁边toast house的橙味吐司、枫糖吐司、软芝士吐司很惊艳，要去吃吃看哦！,2022-02-02
Seesaw Coffee(上海万象城店),"[服务铃]服务：
把服务写在第一条的原因是实在无力吐槽这家seesaw，实在是我最近喝到过服务让我最诟病的一家咖啡店。负责点单的可能是新员工，不太熟练大家都能理解，但是不熟练成这样，点一个单要10来分钟，是不是应该先培训好以后再上岗？我们去的时候还不算很忙的时间，很难想象要是人多的时候这点一杯咖啡要等多久。
Seesaw的咖啡当然我还是觉得不错的，但是这次试了和观夏联名的白柚红美式，有点踩雷，还是经典的美式或者拿铁更对我胃口。",2022-02-02
Seesaw Coffee(上海K11购物艺术中心B1店),"一杯咖啡等了15分钟，20分钟，25分钟...
慢，很慢，非常慢，不能更慢，无法忍受的慢...
不会再选择这种咖啡，不会，不会...
等待这种品质的咖啡，太浪费时间了，太浪费了...
这样的店，给予差评都无法平复心情，拉黑他，不要去消费他才是善举，善哉...",2022-02-02
Seesaw Coffee(上海南翔印象城店),这个咖啡真的喝的我大无语，没有坐的位置，点了新品的桂花和栀子，等了差不多15分钟。说是燕麦奶的，乳糖不耐受喝完马上就拉肚子了，朋友没有乳糖不耐受的喝完也拉肚子了。真实难喝又喷射，这么多好评真不知道都是喝的啥。,2022-02-02
Seesaw Coffee(北京朝阳大悦城店),"一个星都不想给，服务态度差，点单慢，一杯咖啡等了近二十分钟，一句不好意思都没有。
店员做咖啡太慢，也不专业，还只顾外卖订单。
适合没事闲的去买。",2022-02-02
Seesaw Coffee(上海七宝万科店),"家人们好，新的一年来给大家避雷新品了[叹气]
我踩雷踩得很彻底了家人们。

该怎么形容这个味道呢，就是
吃一口：好怪啊
再吃一口：更怪了
我就是一个漏！
已经吃不下去了，感觉我很痛苦。
咱就是说打开来吃之前还觉得颜值蛮高在拍它，怎么味道就是这样的呢😅

不推荐这个繁星桂花拿铁和豆乳麻薯SEE拉米SAW
希望家人们能看到这条好吧[困][困]",2022-02-02
Seesaw Coffee(上海太阳宫K46店),帮朋友们点好咖啡以后，我自己就下楼去买Letao了，特地关照他们给他们买的是新品，一会儿去拿咖啡时看好品种，然后等我回来以后发现他们的咖啡不对的，香橙的倒是没问题了，但是白柚红果丝绒拿铁的红果平白无故没有了！我说你们确定就这么给你们的，不是你们拿错了？他们确定是，我看了下杯子上的贴纸，确实标签是我点的品种没错，所以很显然红果是店员漏给了，我说要么我去找店员吧，他们说算了也就作罢了。不过这家店自然也就最多只能给3星了。,2022-02-02
Seesaw Coffee(上海思南公馆店),"思南公馆新开了seesaw就在瑞幸旁边。价格确实不便宜。38元买了个提拉米苏。结果提拉米苏的巧克力粉实在太多了，一吃就呛嗓子眼里…实在是吃不下去。不值得这个价格。
咖啡还可以，确实比较好喝，但是量不大，杯子蛮小的。",2022-02-01
Seesaw Coffee(北京融新科技中心店),在写字楼的一层，很狭小的空间，大概只服务于本写字楼吧，咖啡没问题，但超过一公里就没必要专门去。,2022-02-01
Seesaw Coffee(上海虹桥天地店),味道是真的很一般,2022-02-01
